ID,Temperature,value,Site,Date,Year,Region,Island,Locale,Chondria_cover,Category,Lat,Long,X,Y,Depth_m,Visual_presence,PlateID,Plate,Threshold,E,Gradient_temp
CT415,88,15.51000771,M04,7/15/2021,2021,PMNM,Manawai,Manawai,0,Absent,27.78565,-175.82392,-19572629.24,3221975.939,12.2,0,D7,4,2799,1.873,54.7
CT415,70,343.5557712,M04,7/15/2021,2021,PMNM,Manawai,Manawai,0,Absent,27.78565,-175.82392,-19572629.24,3221975.939,12.2,0,D7,4,2799,1.873,54.7
CT415,73.5,318.0863177,M04,7/15/2021,2021,PMNM,Manawai,Manawai,0,Absent,27.78565,-175.82392,-19572629.24,3221975.939,12.2,0,D7,4,2799,1.873,54.7
CT415,90,13.82719079,M04,7/15/2021,2021,PMNM,Manawai,Manawai,0,Absent,27.78565,-175.82392,-19572629.24,3221975.939,12.2,0,D7,4,2799,1.873,54.7
CT415,82,25.30937857,M04,7/15/2021,2021,PMNM,Manawai,Manawai,0,Absent,27.78565,-175.82392,-19572629.24,3221975.939,12.2,0,D7,4,2799,1.873,54.7
CT415,71,335.9455846,M04,7/15/2021,2021,PMNM,Manawai,Manawai,0,Absent,27.78565,-175.82392,-19572629.24,3221975.939,12.2,0,D7,4,2799,1.873,54.7
CT415,73,321.6765055,M04,7/15/2021,2021,PMNM,Manawai,Manawai,0,Absent,27.78565,-175.82392,-19572629.24,3221975.939,12.2,0,D7,4,2799,1.873,54.7
CT415,87.5,15.67128617,M04,7/15/2021,2021,PMNM,Manawai,Manawai,0,Absent,27.78565,-175.82392,-19572629.24,3221975.939,12.2,0,D7,4,2799,1.873,54.7
CT415,76,447.1660979,M04,7/15/2021,2021,PMNM,Manawai,Manawai,0,Absent,27.78565,-175.82392,-19572629.24,3221975.939,12.2,0,D7,4,2799,1.873,54.7
CT415,77,938.6784419,M04,7/15/2021,2021,PMNM,Manawai,Manawai,0,Absent,27.78565,-175.82392,-19572629.24,3221975.939,12.2,0,D7,4,2799,1.873,54.7
CT415,93.5,12.57782046,M04,7/15/2021,2021,PMNM,Manawai,Manawai,0,Absent,27.78565,-175.82392,-19572629.24,3221975.939,12.2,0,D7,4,2799,1.873,54.7
CT415,72,327.9097897,M04,7/15/2021,2021,PMNM,Manawai,Manawai,0,Absent,27.78565,-175.82392,-19572629.24,3221975.939,12.2,0,D7,4,2799,1.873,54.7
CT415,84,17.27985853,M04,7/15/2021,2021,PMNM,Manawai,Manawai,0,Absent,27.78565,-175.82392,-19572629.24,3221975.939,12.2,0,D7,4,2799,1.873,54.7
CT415,83,19.26619198,M04,7/15/2021,2021,PMNM,Manawai,Manawai,0,Absent,27.78565,-175.82392,-19572629.24,3221975.939,12.2,0,D7,4,2799,1.873,54.7
CT415,87,15.83805381,M04,7/15/2021,2021,PMNM,Manawai,Manawai,0,Absent,27.78565,-175.82392,-19572629.24,3221975.939,12.2,0,D7,4,2799,1.873,54.7
CT415,65.5,381.6898152,M04,7/15/2021,2021,PMNM,Manawai,Manawai,0,Absent,27.78565,-175.82392,-19572629.24,3221975.939,12.2,0,D7,4,2799,1.873,54.7
CT415,77.5,1219.863848,M04,7/15/2021,2021,PMNM,Manawai,Manawai,0,Absent,27.78565,-175.82392,-19572629.24,3221975.939,12.2,0,D7,4,2799,1.873,54.7
CT415,81,164.4303413,M04,7/15/2021,2021,PMNM,Manawai,Manawai,0,Absent,27.78565,-175.82392,-19572629.24,3221975.939,12.2,0,D7,4,2799,1.873,54.7
CT415,74,315.2955823,M04,7/15/2021,2021,PMNM,Manawai,Manawai,0,Absent,27.78565,-175.82392,-19572629.24,3221975.939,12.2,0,D7,4,2799,1.873,54.7
