age,education,gender,hours,interaction,isolation,socialconnections,socialmedia,substitution,support,urbanity,isolation_number,hours_category
35-44,collegedegree,male,2,some,none,neutral,veryfrequently,never,some,suburban,0,1-2
18-24,collegedegree,female,5,most,most,positive,veryfrequently,occasionally,most,urban,3,5+
35-44,somecollege,male,5,all,all,positive,veryfrequently,frequently,all,rural,4,5+
45-54,somecollege,female,1,some,none,positive,frequently,occasionally,little,suburban,0,<1
35-44,graduatedegree,female,1,some,little,neutral,frequently,rarely,some,suburban,1,<1
25-34,collegedegree,male,4,little,little,neutral,veryfrequently,rarely,little,rural,1,3-4
35-44,graduatedegree,male,1,little,none,neutral,occasionally,rarely,little,suburban,0,<1
35-44,collegedegree,female,4,some,some,neutral,veryfrequently,occasionally,some,rural,2,3-4
45-54,graduatedegree,female,4,most,some,positive,veryfrequently,occasionally,most,urban,2,3-4
25-34,graduatedegree,male,4,most,most,positive,frequently,frequently,most,urban,3,3-4
25-34,graduatedegree,female,2,most,little,positive,veryfrequently,occasionally,most,suburban,1,1-2
25-34,collegedegree,female,5,most,most,neutral,frequently,frequently,most,urban,3,5+
25-34,graduatedegree,female,2,little,little,neutral,veryfrequently,rarely,little,urban,1,1-2
35-44,somecollege,male,2,little,little,neutral,frequently,never,none,suburban,1,1-2
35-44,collegedegree,male,1,some,little,neutral,frequently,occasionally,some,suburban,1,<1
25-34,collegedegree,female,5,most,most,positive,frequently,frequently,some,rural,3,5+
55-64,collegedegree,female,2,little,none,neutral,frequently,occasionally,some,urban,0,1-2
25-34,graduatedegree,male,5,most,most,positive,veryfrequently,frequently,most,urban,3,5+
45-54,collegedegree,female,5,all,all,positive,veryfrequently,veryfrequently,most,urban,4,5+
35-44,collegedegree,female,2,most,some,positive,frequently,occasionally,most,urban,2,1-2
18-24,graduatedegree,female,2,some,some,neutral,frequently,frequently,most,urban,2,1-2
25-34,collegedegree,female,5,most,some,positive,veryfrequently,frequently,most,suburban,2,5+
35-44,collegedegree,female,4,some,some,positive,occasionally,frequently,some,rural,2,3-4
45-54,collegedegree,male,1,little,some,negative,occasionally,rarely,little,suburban,2,<1
25-34,collegedegree,female,4,most,most,positive,frequently,occasionally,most,urban,3,3-4
35-44,graduatedegree,female,4,some,some,positive,occasionally,occasionally,most,urban,2,3-4
25-34,collegedegree,male,4,some,some,neutral,frequently,occasionally,most,suburban,2,3-4
45-54,somecollege,female,4,some,little,positive,veryfrequently,occasionally,some,suburban,1,3-4
25-34,collegedegree,female,5,most,most,positive,frequently,frequently,most,rural,3,5+
25-34,graduatedegree,male,4,little,none,positive,occasionally,rarely,some,urban,0,3-4
25-34,graduatedegree,female,4,most,some,positive,veryfrequently,veryfrequently,all,urban,2,3-4
35-44,graduatedegree,male,2,most,most,positive,veryfrequently,frequently,most,suburban,3,1-2
25-34,collegedegree,male,1,most,some,positive,veryfrequently,veryfrequently,most,urban,2,<1
25-34,somecollege,male,4,little,little,positive,occasionally,occasionally,some,rural,1,3-4
25-34,graduatedegree,female,5,all,most,neutral,veryfrequently,frequently,most,urban,3,5+
25-34,collegedegree,male,2,some,little,positive,occasionally,occasionally,some,rural,1,1-2
25-34,graduatedegree,male,2,some,little,positive,never,occasionally,some,urban,1,1-2
35-44,collegedegree,female,2,little,some,neutral,occasionally,occasionally,some,rural,2,1-2
45-54,highschool,male,4,most,most,negative,veryfrequently,occasionally,little,rural,3,3-4
35-44,collegedegree,female,2,some,some,neutral,frequently,occasionally,little,urban,2,1-2
18-24,graduatedegree,female,5,all,most,positive,veryfrequently,veryfrequently,all,urban,3,5+
35-44,collegedegree,male,4,all,all,positive,veryfrequently,veryfrequently,all,urban,4,3-4
35-44,graduatedegree,male,2,most,all,positive,frequently,frequently,all,rural,4,1-2
45-54,collegedegree,other,2,most,most,neutral,frequently,never,little,rural,3,1-2
25-34,graduatedegree,male,4,some,little,positive,occasionally,occasionally,most,urban,1,3-4
35-44,graduatedegree,female,2,most,some,neutral,never,occasionally,little,rural,2,1-2
25-34,collegedegree,female,5,most,most,neutral,frequently,frequently,some,urban,3,5+
18-24,graduatedegree,male,4,most,some,positive,frequently,occasionally,most,urban,2,3-4
25-34,collegedegree,female,4,some,some,neutral,occasionally,frequently,most,urban,2,3-4
45-54,graduatedegree,female,2,some,little,positive,frequently,occasionally,some,urban,1,1-2
35-44,graduatedegree,female,4,little,none,neutral,frequently,rarely,little,rural,0,3-4
25-34,collegedegree,male,2,little,some,negative,occasionally,occasionally,some,suburban,2,1-2
25-34,highschool,male,4,little,none,neutral,veryfrequently,rarely,none,urban,0,3-4
45-54,graduatedegree,male,1,little,none,positive,frequently,never,little,urban,0,<1
25-34,collegedegree,male,4,most,most,positive,frequently,occasionally,most,rural,3,3-4
55-64,collegedegree,female,4,some,some,positive,frequently,occasionally,most,urban,2,3-4
45-54,collegedegree,female,2,most,some,positive,frequently,frequently,most,urban,2,1-2
25-34,graduatedegree,female,4,most,all,positive,veryfrequently,occasionally,all,suburban,4,3-4
45-54,graduatedegree,female,5,most,some,neutral,veryfrequently,never,most,urban,2,5+
25-34,graduatedegree,male,2,most,most,positive,veryfrequently,frequently,most,urban,3,1-2
18-24,collegedegree,female,4,some,little,neutral,frequently,rarely,some,rural,1,3-4
25-34,graduatedegree,female,2,most,most,positive,veryfrequently,frequently,most,urban,3,1-2
25-34,graduatedegree,female,2,some,most,neutral,occasionally,occasionally,some,rural,3,1-2
35-44,graduatedegree,male,2,little,some,neutral,frequently,rarely,little,urban,2,1-2
18-24,collegedegree,male,5,most,some,positive,frequently,occasionally,most,urban,2,5+
35-44,graduatedegree,male,2,some,little,neutral,frequently,occasionally,little,urban,1,1-2
35-44,graduatedegree,male,4,little,most,positive,occasionally,occasionally,some,urban,3,3-4
25-34,graduatedegree,female,2,some,most,neutral,veryfrequently,frequently,most,urban,3,1-2
25-34,graduatedegree,female,5,all,all,positive,veryfrequently,veryfrequently,most,rural,4,5+
25-34,graduatedegree,female,4,all,most,positive,veryfrequently,frequently,most,urban,3,3-4
25-34,somecollege,female,2,little,little,neutral,frequently,rarely,little,suburban,1,1-2
18-24,collegedegree,female,4,most,some,positive,frequently,occasionally,most,urban,2,3-4
25-34,somecollege,male,2,little,some,neutral,occasionally,veryfrequently,some,rural,2,1-2
35-44,collegedegree,female,4,all,all,neutral,frequently,veryfrequently,most,suburban,4,3-4
25-34,collegedegree,male,5,all,most,positive,veryfrequently,frequently,most,urban,3,5+
25-34,graduatedegree,male,2,little,some,negative,rarely,rarely,some,rural,2,1-2
55-64,graduatedegree,male,4,most,some,neutral,frequently,rarely,some,rural,2,3-4
35-44,highschool,other,2,most,little,positive,frequently,frequently,some,suburban,1,1-2
45-54,graduatedegree,male,1,some,little,neutral,frequently,occasionally,little,urban,1,<1
25-34,graduatedegree,female,5,most,all,positive,veryfrequently,frequently,most,rural,4,5+
25-34,graduatedegree,female,2,most,most,positive,veryfrequently,frequently,most,urban,3,1-2
35-44,graduatedegree,male,2,some,little,positive,veryfrequently,occasionally,some,urban,1,1-2
25-34,collegedegree,female,2,most,some,neutral,veryfrequently,occasionally,little,suburban,2,1-2
35-44,collegedegree,female,1,little,none,neutral,occasionally,never,little,rural,0,<1
35-44,graduatedegree,female,2,little,none,neutral,frequently,never,none,suburban,0,1-2
25-34,collegedegree,male,4,some,some,neutral,frequently,frequently,most,urban,2,3-4
35-44,somecollege,female,1,some,little,negative,occasionally,occasionally,some,suburban,1,<1
35-44,graduatedegree,female,2,some,little,neutral,veryfrequently,rarely,some,suburban,1,1-2
25-34,graduatedegree,female,1,little,none,neutral,rarely,rarely,little,rural,0,<1
25-34,collegedegree,female,4,most,little,positive,veryfrequently,occasionally,some,urban,1,3-4
25-34,graduatedegree,female,4,some,most,neutral,frequently,frequently,some,urban,3,3-4
45-54,collegedegree,male,2,some,little,positive,frequently,never,none,rural,1,1-2
35-44,highschool,female,4,most,little,positive,veryfrequently,occasionally,some,suburban,1,3-4
35-44,somecollege,male,1,little,little,positive,occasionally,frequently,some,urban,1,<1
18-24,collegedegree,female,5,most,all,neutral,veryfrequently,frequently,most,urban,4,5+
18-24,highschool,male,5,most,most,neutral,veryfrequently,rarely,little,urban,3,5+
55-64,graduatedegree,female,2,some,some,neutral,occasionally,occasionally,little,urban,2,1-2
25-34,graduatedegree,female,4,some,most,positive,occasionally,rarely,little,urban,3,3-4
35-44,collegedegree,male,1,little,some,neutral,occasionally,rarely,little,urban,2,<1
25-34,graduatedegree,male,4,some,little,neutral,frequently,rarely,some,rural,1,3-4
18-24,collegedegree,female,4,most,most,neutral,frequently,frequently,some,rural,3,3-4
55-64,graduatedegree,female,5,most,all,neutral,frequently,veryfrequently,all,urban,4,5+
25-34,graduatedegree,male,1,none,little,neutral,occasionally,rarely,little,suburban,1,<1
25-34,collegedegree,female,4,most,some,positive,frequently,frequently,some,urban,2,3-4
35-44,collegedegree,male,4,some,little,negative,veryfrequently,frequently,most,rural,1,3-4
35-44,graduatedegree,male,2,some,some,positive,veryfrequently,never,little,urban,2,1-2
25-34,graduatedegree,female,2,most,little,neutral,frequently,rarely,some,urban,1,1-2
25-34,collegedegree,male,5,all,most,positive,veryfrequently,veryfrequently,all,urban,3,5+
25-34,collegedegree,female,4,little,none,neutral,veryfrequently,occasionally,little,urban,0,3-4
25-34,collegedegree,female,2,some,little,neutral,frequently,rarely,some,suburban,1,1-2
35-44,highschool,female,2,little,none,positive,frequently,never,some,suburban,0,1-2
35-44,collegedegree,female,4,some,none,positive,veryfrequently,occasionally,little,urban,0,3-4
25-34,collegedegree,female,4,some,little,positive,veryfrequently,occasionally,some,suburban,1,3-4
25-34,collegedegree,male,1,little,little,positive,rarely,rarely,little,urban,1,<1
25-34,graduatedegree,male,4,most,some,positive,veryfrequently,frequently,some,urban,2,3-4
25-34,collegedegree,male,4,most,none,positive,veryfrequently,occasionally,little,urban,0,3-4
25-34,collegedegree,female,2,some,little,positive,rarely,occasionally,little,suburban,1,1-2
25-34,graduatedegree,female,2,most,most,positive,veryfrequently,frequently,most,urban,3,1-2
45-54,graduatedegree,female,4,some,little,neutral,occasionally,occasionally,little,rural,1,3-4
35-44,collegedegree,female,2,none,none,neutral,frequently,rarely,none,urban,0,1-2
25-34,collegedegree,female,5,most,most,positive,frequently,frequently,most,rural,3,5+
25-34,collegedegree,male,2,all,all,positive,occasionally,frequently,all,rural,4,1-2
25-34,collegedegree,female,4,little,most,positive,rarely,rarely,some,urban,3,3-4
35-44,graduatedegree,female,1,little,none,neutral,occasionally,never,none,suburban,0,<1
25-34,graduatedegree,female,4,most,some,positive,occasionally,frequently,some,rural,2,3-4
25-34,collegedegree,female,5,most,most,positive,frequently,frequently,most,urban,3,5+
35-44,collegedegree,female,1,little,none,neutral,frequently,rarely,little,suburban,0,<1
45-54,collegedegree,female,2,some,little,neutral,veryfrequently,rarely,some,suburban,1,1-2
35-44,somecollege,male,4,some,most,positive,frequently,frequently,most,rural,3,3-4
18-24,graduatedegree,female,5,all,all,neutral,veryfrequently,veryfrequently,all,urban,4,5+
25-34,collegedegree,male,2,little,little,neutral,occasionally,occasionally,some,urban,1,1-2
65+,graduatedegree,female,1,little,none,neutral,frequently,never,none,rural,0,<1
25-34,collegedegree,female,2,some,little,negative,frequently,rarely,little,urban,1,1-2
25-34,somecollege,male,1,some,none,neutral,frequently,rarely,little,urban,0,<1
45-54,collegedegree,female,1,some,little,positive,frequently,occasionally,little,suburban,1,<1
45-54,collegedegree,male,2,all,most,positive,frequently,veryfrequently,most,urban,3,1-2
25-34,collegedegree,female,5,most,most,positive,frequently,frequently,most,urban,3,5+
25-34,graduatedegree,male,2,some,little,negative,frequently,rarely,some,urban,1,1-2
25-34,somecollege,female,4,some,none,positive,veryfrequently,rarely,little,suburban,0,3-4
35-44,collegedegree,female,4,some,little,neutral,veryfrequently,veryfrequently,some,urban,1,3-4
25-34,collegedegree,female,1,all,all,positive,veryfrequently,veryfrequently,all,rural,4,<1
25-34,collegedegree,male,4,most,some,positive,veryfrequently,veryfrequently,some,urban,2,3-4
25-34,somecollege,male,2,some,little,neutral,rarely,rarely,little,rural,1,1-2
25-34,graduatedegree,female,5,most,most,positive,frequently,frequently,some,rural,3,5+
35-44,highschool,male,1,none,none,neutral,occasionally,never,none,urban,0,<1
35-44,graduatedegree,female,2,some,little,positive,veryfrequently,rarely,some,suburban,1,1-2
55-64,collegedegree,female,1,little,none,neutral,rarely,never,little,suburban,0,<1
25-34,collegedegree,female,2,some,none,neutral,veryfrequently,rarely,little,suburban,0,1-2
25-34,graduatedegree,male,1,little,none,neutral,frequently,never,little,rural,0,<1
25-34,collegedegree,female,4,most,most,neutral,frequently,frequently,most,urban,3,3-4
25-34,graduatedegree,male,2,little,some,positive,frequently,occasionally,some,urban,2,1-2
25-34,graduatedegree,female,4,most,most,neutral,frequently,frequently,most,urban,3,3-4
35-44,graduatedegree,female,4,some,none,positive,frequently,never,some,rural,0,3-4
25-34,graduatedegree,male,4,most,most,neutral,veryfrequently,frequently,most,urban,3,3-4
25-34,graduatedegree,female,2,some,some,positive,occasionally,occasionally,some,suburban,2,1-2
25-34,graduatedegree,female,2,some,some,neutral,frequently,occasionally,most,rural,2,1-2
25-34,collegedegree,female,4,most,some,positive,frequently,frequently,most,rural,2,3-4
35-44,somecollege,female,2,some,some,negative,frequently,rarely,none,urban,2,1-2
35-44,collegedegree,female,2,most,some,neutral,frequently,frequently,some,rural,2,1-2
25-34,collegedegree,female,4,some,some,positive,occasionally,frequently,little,urban,2,3-4
25-34,graduatedegree,female,1,some,little,positive,occasionally,occasionally,some,urban,1,<1
35-44,collegedegree,male,2,none,none,neutral,frequently,never,none,rural,0,1-2
25-34,collegedegree,female,2,little,some,positive,frequently,frequently,most,urban,2,1-2
55-64,collegedegree,male,2,most,some,neutral,veryfrequently,occasionally,most,urban,2,1-2
45-54,graduatedegree,female,4,most,some,neutral,frequently,occasionally,most,urban,2,3-4
18-24,collegedegree,female,4,most,some,positive,frequently,occasionally,most,urban,2,3-4
25-34,collegedegree,female,5,most,most,positive,frequently,frequently,most,urban,3,5+
35-44,graduatedegree,male,4,most,most,positive,frequently,frequently,most,urban,3,3-4
35-44,graduatedegree,male,4,most,most,positive,frequently,frequently,most,urban,3,3-4
45-54,collegedegree,female,2,little,none,neutral,frequently,never,some,suburban,0,1-2
35-44,highschool,female,2,little,none,positive,frequently,rarely,little,rural,0,1-2
25-34,graduatedegree,female,2,most,most,positive,veryfrequently,frequently,most,urban,3,1-2
35-44,collegedegree,female,4,little,most,positive,frequently,occasionally,some,urban,3,3-4
25-34,graduatedegree,male,2,most,most,positive,veryfrequently,frequently,most,urban,3,1-2
45-54,collegedegree,female,4,little,most,negative,veryfrequently,occasionally,little,urban,3,3-4
45-54,graduatedegree,male,5,most,little,positive,veryfrequently,rarely,some,urban,1,5+
25-34,graduatedegree,female,5,all,all,positive,veryfrequently,veryfrequently,all,urban,4,5+
35-44,collegedegree,male,1,little,little,neutral,occasionally,rarely,some,suburban,1,<1
35-44,graduatedegree,female,5,most,some,neutral,veryfrequently,frequently,some,urban,2,5+
35-44,graduatedegree,female,1,little,some,negative,frequently,rarely,little,suburban,2,<1
25-34,graduatedegree,male,2,most,some,positive,frequently,frequently,most,urban,2,1-2
35-44,collegedegree,male,4,most,some,neutral,veryfrequently,occasionally,most,suburban,2,3-4
25-34,graduatedegree,male,5,all,all,positive,veryfrequently,veryfrequently,all,urban,4,5+
45-54,graduatedegree,male,1,little,little,neutral,occasionally,occasionally,some,rural,1,<1
18-24,graduatedegree,female,5,little,most,positive,veryfrequently,occasionally,some,urban,3,5+
35-44,graduatedegree,male,2,none,most,neutral,occasionally,never,some,urban,3,1-2
55-64,highschool,female,2,some,none,positive,veryfrequently,rarely,little,rural,0,1-2
45-54,collegedegree,female,5,most,all,positive,frequently,frequently,most,urban,4,5+
25-34,graduatedegree,female,2,some,some,neutral,frequently,occasionally,most,suburban,2,1-2
18-24,graduatedegree,male,4,most,all,neutral,rarely,frequently,all,urban,4,3-4
25-34,graduatedegree,male,2,little,most,negative,frequently,occasionally,some,urban,3,1-2
35-44,collegedegree,female,2,some,most,negative,veryfrequently,frequently,none,suburban,3,1-2
25-34,collegedegree,female,2,some,little,positive,frequently,frequently,some,rural,1,1-2
25-34,graduatedegree,male,2,some,most,neutral,occasionally,occasionally,some,urban,3,1-2
55-64,graduatedegree,male,2,some,some,positive,veryfrequently,veryfrequently,some,urban,2,1-2
25-34,collegedegree,female,4,most,most,positive,frequently,frequently,some,urban,3,3-4
25-34,graduatedegree,female,5,some,little,positive,veryfrequently,frequently,some,urban,1,5+
65+,highschool,male,1,little,none,neutral,frequently,never,some,suburban,0,<1
25-34,collegedegree,female,5,most,most,neutral,frequently,frequently,most,urban,3,5+
18-24,collegedegree,female,4,most,most,positive,occasionally,occasionally,most,urban,3,3-4
25-34,collegedegree,female,5,most,most,negative,veryfrequently,occasionally,some,suburban,3,5+
35-44,collegedegree,male,2,some,little,positive,frequently,rarely,some,urban,1,1-2
65+,graduatedegree,female,1,some,some,neutral,occasionally,occasionally,some,rural,2,<1
18-24,graduatedegree,male,2,some,little,positive,veryfrequently,rarely,some,urban,1,1-2
35-44,collegedegree,male,2,little,none,neutral,occasionally,rarely,some,suburban,0,1-2
35-44,collegedegree,female,4,some,little,neutral,veryfrequently,rarely,little,rural,1,3-4
25-34,collegedegree,female,4,most,some,positive,occasionally,frequently,all,rural,2,3-4
35-44,collegedegree,female,2,little,none,neutral,frequently,occasionally,little,rural,0,1-2
25-34,graduatedegree,female,4,most,some,neutral,frequently,frequently,some,urban,2,3-4
25-34,collegedegree,male,2,some,little,neutral,veryfrequently,rarely,some,urban,1,1-2
25-34,collegedegree,female,4,most,some,neutral,frequently,occasionally,most,urban,2,3-4
45-54,graduatedegree,male,2,some,most,neutral,occasionally,occasionally,some,urban,3,1-2
55-64,highschool,female,2,none,none,neutral,veryfrequently,never,none,suburban,0,1-2
25-34,graduatedegree,male,4,some,most,neutral,frequently,frequently,some,urban,3,3-4
25-34,collegedegree,male,4,some,some,negative,frequently,occasionally,some,suburban,2,3-4
25-34,collegedegree,female,1,some,little,neutral,occasionally,occasionally,little,rural,1,<1
45-54,collegedegree,male,2,some,some,positive,occasionally,rarely,most,urban,2,1-2
35-44,highschool,female,1,little,none,positive,occasionally,frequently,none,suburban,0,<1
25-34,graduatedegree,male,4,some,most,positive,veryfrequently,rarely,some,urban,3,3-4
45-54,somecollege,male,2,some,little,neutral,veryfrequently,occasionally,little,urban,1,1-2
25-34,graduatedegree,female,4,most,some,neutral,occasionally,occasionally,some,suburban,2,3-4
35-44,graduatedegree,male,4,all,most,positive,veryfrequently,frequently,most,urban,3,3-4
25-34,collegedegree,male,4,some,some,positive,occasionally,occasionally,some,urban,2,3-4
18-24,graduatedegree,female,5,some,all,positive,frequently,occasionally,little,rural,4,5+
25-34,graduatedegree,female,4,most,most,positive,veryfrequently,veryfrequently,all,urban,3,3-4
18-24,collegedegree,female,4,most,some,positive,frequently,occasionally,most,urban,2,3-4
25-34,collegedegree,female,2,little,little,positive,occasionally,rarely,little,rural,1,1-2
18-24,graduatedegree,male,5,most,most,positive,frequently,occasionally,some,urban,3,5+
25-34,graduatedegree,female,2,most,most,positive,veryfrequently,frequently,most,urban,3,1-2
25-34,collegedegree,female,5,most,all,positive,veryfrequently,frequently,all,suburban,4,5+
25-34,collegedegree,female,2,some,most,positive,veryfrequently,occasionally,most,suburban,3,1-2
35-44,collegedegree,male,1,some,none,neutral,frequently,occasionally,little,urban,0,<1
35-44,somecollege,male,2,some,little,neutral,frequently,frequently,some,urban,1,1-2
45-54,graduatedegree,male,4,most,all,positive,veryfrequently,veryfrequently,most,rural,4,3-4
45-54,collegedegree,male,2,most,little,positive,rarely,rarely,little,rural,1,1-2
35-44,graduatedegree,male,1,some,little,neutral,occasionally,rarely,some,suburban,1,<1
25-34,graduatedegree,female,1,some,none,positive,never,never,some,urban,0,<1
35-44,collegedegree,female,4,some,most,neutral,frequently,rarely,most,urban,3,3-4
65+,graduatedegree,female,2,most,none,positive,veryfrequently,veryfrequently,all,urban,0,1-2
25-34,collegedegree,female,1,little,none,neutral,rarely,never,none,suburban,0,<1
25-34,somecollege,male,4,most,little,positive,veryfrequently,occasionally,most,urban,1,3-4
35-44,graduatedegree,male,4,all,little,positive,frequently,frequently,most,urban,1,3-4
35-44,collegedegree,male,2,little,little,neutral,occasionally,rarely,some,rural,1,1-2
18-24,graduatedegree,female,4,most,some,positive,veryfrequently,occasionally,most,urban,2,3-4
25-34,graduatedegree,female,4,little,some,negative,veryfrequently,rarely,little,urban,2,3-4
25-34,collegedegree,male,2,little,some,positive,occasionally,occasionally,little,rural,2,1-2
25-34,collegedegree,male,2,little,some,positive,rarely,occasionally,some,urban,2,1-2
45-54,graduatedegree,male,5,most,none,positive,veryfrequently,rarely,some,urban,0,5+
25-34,collegedegree,male,4,most,some,positive,veryfrequently,occasionally,little,urban,2,3-4
55-64,collegedegree,female,4,most,most,neutral,frequently,occasionally,some,urban,3,3-4
25-34,collegedegree,male,5,all,all,positive,veryfrequently,veryfrequently,all,urban,4,5+
45-54,graduatedegree,male,5,some,some,neutral,veryfrequently,occasionally,some,urban,2,5+
25-34,collegedegree,male,4,most,some,neutral,veryfrequently,frequently,most,rural,2,3-4
45-54,collegedegree,male,2,some,little,neutral,frequently,occasionally,some,suburban,1,1-2
