"","S_25","S_26","S_27","S_28","S_29","S_30","S_31","S_32","S_33","S_34","S_35","S_36","S_37","S_38","S_39","S_40","S_41","S_42","S_43","S_44","S_45","S_46","S_47","S_48"
"ENSG00000227232.5",146.613150031662,162.069926459828,167.375548398197,104.667003188605,183.751049107173,201.038368190211,148.755526931146,163.19067072893,160.701925814034,79.8391895722236,92.6551103332058,113.832338463268,135.736036349534,99.9454761143179,150.542145358934,121.522443213644,192.430266938621,149.376347089355,203.84745081667,133.61161000476,172.666046651078,192.263553258591,100.490513850265,190.843260038639
"ENSG00000278267.1",6.98157857293631,7.95435221888727,17.2298358645203,12.7095646729021,9.88794883087925,19.8556413027369,14.9753886172294,24.0491514758422,21.4842146810206,1.35320660291904,2.15477000774897,12.6480376070298,11.0056245688812,7.60454709565462,14.5685947121549,7.25507123663543,14.629201580129,17.9629784474541,21.4995358283207,32.3253895172805,21.7124968842673,19.3068003272226,12.683268738383,10.3158518939805
"ENSG00000268903.1",29.9210510268699,35.7945849849927,33.2289691672891,43.3620441781365,38.7277995876104,50.4664216444562,42.9294473693911,38.6504220147465,49.8433780599677,39.2429914846523,44.1727851588539,34.0524089420032,34.2397208809636,41.2818270906965,32.7793381023486,58.0405698930835,30.3837263587296,51.9980955057882,46.9804671804045,40.9454933885553,25.8482105765087,63.5515510771076,41.9523504423438,42.5528890626695
"ENSG00000269981.1",32.9131561295569,33.8059969302709,18.4605384262717,27.6619936998457,28.0158550208245,36.4020090550176,36.9392919224993,57.5461838886225,30.0779005534288,21.6513056467047,17.2381600619918,53.5109283374336,40.3539567525643,35.8500077366575,40.063635458426,33.5547044694389,32.6343727556725,25.5263377937506,32.6474432948574,26.9378245977338,29.9839242687501,32.178000545371,28.2934456471621,18.0527408144659
"ENSG00000279457.4",244.355250052771,278.402327661054,299.060722505602,251.948429104,262.854639754207,273.015067912632,316.479879444115,326.381341457859,266.404262044655,117.728974453957,168.07206060442,251.014900201052,261.689295304508,299.836428342954,288.943795124406,263.903216232614,331.970343549082,294.971014505562,287.456756815695,272.610784929066,224.362467804095,273.513004635653,232.201381518089,290.133334518201
"ENSG00000237094.12",19.9473673512466,26.8459387387445,17.2298358645203,17.1952933809852,13.1839317745057,20.6829596903509,14.9753886172294,25.766948009831,20.6248460937798,21.6513056467047,19.3929300697407,11.6751116372582,22.0112491377623,24.9863690285795,26.7090903056174,10.8826068549532,13.5038783816576,16.07213861088,27.8697686663417,11.8526428230029,21.7124968842673,18.5023503135883,32.1959898743569,27.0791112216988
"ENSG00000225630.1",10699.7678472087,11581.5368306999,10163.1417549435,12504.7163952329,10410.362127444,9542.29028274029,10786.2732413698,11349.4817000636,10314.1417840644,20503.7864474294,16130.6082780088,8790.38613688569,13331.4798944381,17478.5083174267,12575.1253357084,13371.0962891191,12125.35746353,13044.9040325248,11249.831191945,12543.3286456888,10834.5359452494,9993.68251937859,13693.0520571697,10620.1695248529
"ENSG00000237973.1",328.134192928006,415.61490343686,446.745029915776,432.872820330018,394.693957499263,316.862942456176,368.394559983844,395.093202817408,547.417790072404,473.622311021665,302.74518608873,249.069048261509,535.607062352217,608.36376765237,558.462797299272,423.514783438593,433.249431411514,577.651570073393,539.877233022276,518.283745260398,850.923092178666,603.337510225706,826.363740108493,482.266076043588
"ENSG00000248527.1",9218.67582137861,9955.86609596478,9245.03764387689,10722.3868552213,8376.74065122654,7605.53793733583,8517.00268623896,9136.95976428606,8110.72072637889,16450.9326716868,11655.1509719142,6288.02054263334,10213.2195999217,13183.0255722527,9692.97168182041,8903.78617516084,8875.42406634445,9943.92670054328,8449.31758053004,9548.92006340467,7501.15070930282,7602.05262884389,9852.94853761,7469.96625272862
"ENSG00000228327.3",102.72894185892,138.206869803166,152.60711765718,103.171760285911,139.255279368216,115.824574265965,138.771934519659,152.024993258003,140.936448307495,117.728974453957,145.446975523056,40.8628907304038,157.747285487297,166.213672233594,173.609086986513,172.307941870092,173.299772564606,138.031308069911,140.145122436461,157.316895650765,122.003553921121,130.320902208752,121.954507099837,107.026963400048
