"","F_1","F_2","F_3","F_4","F_5","F_6","F_7","F_8","F_9","F_10","F_11","F_12","F_13","F_14","F_15","F_16","F_17","F_18","F_19","F_20","F_21","F_22","F_23","F_24"
"ENSG00000227232.5",118.140279611942,94.533926345219,115.983973565585,101.059227734427,137.539096551429,143.258692549904,135.258806831332,183.565285007249,137.100071292818,130.108213930885,69.5260232477724,156.880713888032,139.792104510931,151.464506374561,153.176492481095,37.0450929703562,132.359460551841,158.685531410862,95.1238859938105,98.8232563655151,116.708083412527,131.638777924876,97.381536599428,158.155755520793
"ENSG00000278267.1",10.0974597958925,5.08246915834511,6.15844107427884,4.30039266955008,12.5035542319481,11.2802120118034,12.6088718232597,22.4357570564416,19.7517051862535,9.92350784218618,2.7810409299109,8.53772592587932,4.59842449049116,15.6350458193095,8.18500341502036,0,10.2471840427232,17.5469578002395,4.4940418579753,19.0502662873282,14.7199384484269,21.1118794785178,13.4984308157623,9.4421346579578
"ENSG00000268903.1",25.2436494897313,40.6597532667608,39.0034601370993,40.8537303607257,32.7016033758642,53.0169964554762,38.3997460072001,47.9309355296706,42.9890054053753,24.2574636142329,33.3724911589307,33.0836879627824,35.867711025831,49.8367085490492,49.1100204901222,21.1686245544893,34.1572801424105,43.4859388962457,35.2033278874732,26.1941161450763,30.4913010717414,70.7868900162067,45.3161605957734,44.8501396252995
"ENSG00000269981.1",24.233903510142,24.3958519600565,24.6337642971154,38.7035340259507,25.9689203278922,45.1208480472138,24.0714825716777,32.6338284457332,22.0754352081657,35.2835834388842,26.8833956558053,29.8820407405776,38.6267657201257,57.6542314587039,33.9092998622272,17.9933308713159,42.6966001780132,28.2277147221244,52.4304883430452,44.0537407894465,35.7484219461795,47.1912600108044,32.7819034097084,35.4080049673417
"ENSG00000279457.4",185.793260244422,192.117334185445,180.647604845513,210.719240807954,233.72028295103,231.244346241971,204.60760185926,358.972112903065,198.678916873491,192.957096931398,231.753410825908,186.76275462861,174.740130638664,247.229162017832,254.904392067777,112.193710138793,231.415572964831,227.347540194407,182.008695248,195.265229445114,183.999230605336,280.663809537942,220.795761200683,246.675767939147
"ENSG00000237094.12",19.1851736121958,19.3133828017114,24.6337642971154,20.4268651803629,15.3889898239361,20.3043816212462,9.17008859873435,13.2574928060791,20.9135701972096,24.2574636142329,14.8322182928581,7.4705101851444,28.5102318410452,17.5894265467232,18.7085792343323,15.8764684158669,22.2022320925668,24.4131586785941,23.2192162662057,27.3847577880343,23.1313318475279,11.17687737098,14.4626044454596,21.244802980405
"ENSG00000225630.1",10467.0268244222,10158.8393537002,11274.0527933131,12485.1150178713,9520.01382983248,9004.99324902269,10164.4700811596,7478.24574976755,8244.5941177444,9221.14400935589,11450.4725220865,8858.95786384053,12119.6075871385,12033.1221386861,9265.42386580305,24084.6025868702,11432.4416636648,8474.41770630697,16827.1907302122,13124.4428303262,9925.44421093925,13286.8234435683,9502.89529429666,11928.9568734974
"ENSG00000237973.1",270.611922529919,254.123457917255,256.601711428285,230.071007820929,302.970737158742,219.964134230167,377.693024160371,316.14021306804,374.12053352786,286.679115440934,237.31549268573,236.921894443151,376.151123322177,369.377957481188,252.565819663485,228.621145188484,292.89867722117,316.608151613017,293.610734721053,346.476718100782,341.712856838481,399.883834828395,369.278500174068,334.015513525257
"ENSG00000248527.1",8875.66716058952,8121.78571503548,8925.63393032147,10220.9582773531,7279.95399858578,7108.78960983853,8005.48734669508,6070.91189804531,6142.78031292484,6573.77263945711,7716.46156685943,6455.5880157055,8971.52618094825,9573.53399323597,6958.42218896945,16782.4855467991,8887.72429305522,6738.03179529197,11616.3491958898,9451.31336180071,7772.12750076938,9917.61585384958,7519.5901380093,8854.36177549992
"ENSG00000228327.3",149.442404979209,106.731852325247,111.878346182732,117.18570024524,109.646552495545,117.314204922756,105.456018885445,103.000521031845,116.186501095609,110.261198246513,123.292814559383,137.670830554804,128.755885733752,135.829460555252,137.9757718532,169.348996435914,137.483052573202,151.819330532507,182.008695248,165.499188371164,116.708083412527,134.12252845176,103.166578377612,153.434688191814
"ENSG00000228794.10",321.099221509382,313.080100154058,294.578764719671,309.628272207606,390.495616782379,391.42335680958,391.448157058472,347.754234374844,385.739183637421,372.682850073214,411.594057626813,404.474765738533,441.448751087151,383.058622573084,335.585140015835,437.132097050203,396.224449651962,415.0236975361,399.969725359802,408.390083534599,403.746883156851,413.54446272626,431.949786104393,428.436860104835
"ENSG00000223764.2",104.003835897693,91.4844448502119,80.0597339656249,86.0078533910016,101.952057583577,78.9614840826241,69.9219255653494,60.1686211968206,73.1974956902336,61.7462710180473,50.0587367383961,59.7640814811552,58.8598334782868,71.3348965505998,73.6650307351833,19.0517620990403,39.2808721637721,49.5892285658943,59.1715511300081,40.4818158605725,35.7484219461795,116.736274763569,33.7460770394057,53.1120074510126
"ENSG00000187634.12",220.124623550457,185.001877363762,179.6211979998,175.241001284166,123.111918591489,145.514734952264,101.444105123499,115.238206698995,118.510231117521,121.287318071164,59.3288731714324,115.259299999371,111.281872669886,176.871455830939,129.79076843818,38.1035241980807,112.719024469955,115.962503723322,116.096081331029,55.9601572190266,137.73656691028,167.6531605647,83.8831057836657,132.189885211409
"ENSG00000188976.11",1942.75126472972,1893.72800839939,1990.20287383778,1855.61943691086,2121.75697197519,2094.7353705919,1863.82050769276,2604.58743282508,2091.35701972096,2136.86202201742,1748.34773127065,2028.77712313707,2286.3366566722,2504.53890218065,2066.12871919157,1548.48488616089,2281.70631351302,2704.520234863,2164.63016159144,2468.20012585196,2451.92117583796,2706.0461990406,2852.02559664463,2412.46540510822
"ENSG00000187961.14",284.748366244169,277.502816045643,273.024220959695,347.256708066169,439.548021846175,478.280989300466,255.61621968972,431.378419767036,305.570497881451,277.858219581213,266.979929271446,337.240174072233,217.965320849281,402.602429847221,333.246567611543,118.54429750514,245.932417025356,270.833479090653,224.702092898765,219.078062304274,241.827560224156,524.071361172618,298.893825206165,336.376047189747
"ENSG00000187583.11",13.1266977346603,15.2474074750353,23.6073574514022,18.2766688455878,14.4271779599401,15.7922968165248,20.6326993471523,42.8318998350248,24.3991652300779,22.0522396493026,13.9052046495545,22.4115305554332,13.7952734714735,20.5209976378438,15.200720627895,9.52588104952017,22.2022320925668,35.093915600479,15.7291465029136,20.2409079302862,14.7199384484269,29.8050063226133,27.9610352612219,46.0304064575443
"ENSG00000188290.11",1.00974597958925,0,1.02640684571314,4.30039266955008,17.3126135519281,23.6884452247872,18.9133077348896,41.8120926960957,40.6652753834631,11.0261198246513,33.3724911589307,26.6803935183729,31.2692865353399,39.0876145482739,37.4171584686645,13.759605960418,36.7190761530913,43.4859388962457,39.6973697454485,38.1005325746564,45.2112395201682,73.2706405430911,44.3519869660761,60.193608444481
"ENSG00000187608.10",332.206427284864,368.987260895855,414.668365668109,378.434554920407,377.992062550431,423.007950442629,394.886940282998,480.329162435636,422.918863988016,480.738824354797,355.973239028595,556.019400922891,453.404654762428,442.667234759201,475.899484273327,291.068587624227,455.14575789762,569.894672903431,543.779064815011,527.4542478304,501.529331421401,442.107593785431,597.78765041233,482.729134388092
"ENSG00000188157.15",9522.91433350623,9269.4072509898,8895.86813179578,8398.6668836313,8518.76767941263,9158.40413238322,7553.86048320742,12230.5470171774,8328.24839853324,9042.52086819654,7266.85994985717,8770.37895735953,10589.251916703,10412.9405156602,9522.66683027512,7237.55273517988,10441.0266075313,13251.0047840156,9720.61253880057,11908.797712866,10258.7456743786,11081.2529756949,14625.5497888784,11797.9472551183
"ENSG00000217801.10",82.7991703263186,63.0226175634793,84.1653613484775,99.9841295670393,205.827738895146,198.531731407741,156.464636715905,267.189470399441,184.736536742018,142.236945738002,158.519333004921,194.233264813754,183.936979619646,154.396077465682,183.577933736885,135.479197148731,216.898728904307,223.532984150877,174.518625484708,190.502662873282,158.765050408033,259.551930059424,328.783207726782,309.229910048118
"ENSG00000273443.1",12.116951755071,4.06597532667608,2.05281369142628,9.67588350648768,16.3508016879321,22.5604240236069,19.4864382723105,32.6338284457332,11.6186501095609,8.82089585972105,9.27013643303632,14.9410203702888,15.6346432676699,21.4981880015506,21.0471516386238,5.29215613862232,13.6629120569642,32.0422707656547,28.4622651005102,29.7660410739503,27.3370285470785,31.0468815860555,28.9252088909192,36.5882717995865
"ENSG00000131591.17",260.514462734027,287.667754362333,281.2354757254,323.604548383643,295.276242246774,382.399187200137,215.497082070257,362.031534319853,260.257762454164,277.858219581213,228.972369895997,315.895859257535,302.576331474318,423.123427485064,330.907995207252,153.472528020047,287.775085199809,292.194992934423,254.662371951934,239.318970234561,201.873441578426,429.688841151009,353.851722098912,325.753645699544
"ENSG00000186891.14",8.07796783671401,4.06597532667608,5.1320342285657,8.60078533910016,9.61811863996007,14.6642756153445,14.9013939729433,24.4753713342999,15.1042451424291,20.9496276668375,8.34312278973269,8.53772592587932,11.955903675277,9.77190363706846,11.6928620214577,4.23372491089785,9.39325203916289,16.0211353828274,5.24304883430452,7.14384985774808,7.35996922421343,33.53063211294,19.2834725939461,14.1632019869367
"ENSG00000078808.18",5545.52491990417,5802.14679116677,5897.7337354677,5871.11109210324,5594.85961286477,6876.41724239538,5217.20728214242,7276.32393625958,5837.20981504339,5956.30992927664,5316.42324434633,6384.08456107626,5706.64479269952,7240.98059506773,5837.07672111166,3136.13172774758,5489.92885088893,6383.27808324365,5331.43165751137,5738.89271905762,5431.65728746951,8170.29735818638,7567.79881949416,6801.87775422635
"ENSG00000176022.7",1481.29735205743,1484.08099423677,1521.13494534687,1467.50899848396,1315.75862994654,1767.6092222496,1374.36702873531,1929.47510685398,1401.20920321304,1624.14745017114,1283.91389597553,1623.23514165781,1594.73361330233,1786.30398485611,1594.90637972682,1099.71004560572,1544.76299444052,1820.30614397267,1405.88609456994,1671.66086671305,1588.70192825521,1878.95727358808,2208.92178563653,1919.11386922992
"ENSG00000184163.3",5.04872989794625,6.09896299001413,12.3168821485577,16.1264725108128,16.3508016879321,12.4082332129838,16.620785585206,16.3169142228666,23.2373002191218,12.1287318071164,9.27013643303632,8.53772592587932,16.5543281657682,21.4981880015506,19.877865436478,12.7011747326936,20.4943680854463,22.1244250524759,8.23907673962138,15.4783413584542,13.6685142735392,34.7725073763822,24.1043407424327,27.1461371416287
