id,category,rhythmic_in_ctrl,rhythmic_in_asthma,diff_rhythmic,ctrl_amp,ctrl_phase,asthma_amp,asthma_phase,p_val_ctrl_or_b,adj_p_val_ctrl_or_asthma,p_val_DR,adj_p_val_DR
ENSG00000005189,same,TRUE,TRUE,FALSE,0.333427631940787,0.0402955503352484,0.205872092537887,6.26194572242131,1.93825125015072e-07,1.80653566679607e-05,0.340010483263388,0.604617488627694
ENSG00000005379,same,TRUE,TRUE,FALSE,0.224034543682879,2.85004527720857,0.250539088640046,2.75649343137881,2.86339333522814e-06,0.000158116383174505,0.916967431734143,0.949296411699129
ENSG00000005486,same,TRUE,FALSE,FALSE,0.200692548562574,0.760452728862896,0.16397147109059,0.447382541827692,8.56950916216904e-08,9.49678915357891e-06,0.493732266579658,0.693371835240129
ENSG00000005844,loss,TRUE,FALSE,TRUE,0.216434726019727,3.73248525349478,0.101416640011943,2.21125962771,0.00354038079835746,0.0318356905701208,0.0198477826494609,0.16447833518529
ENSG00000006016,loss,TRUE,FALSE,TRUE,0.353665399834627,3.28756993057719,0.0535475467248472,3.32913100457393,0.000888328682588513,0.0119564830188206,0.0298560004778046,0.183685488653922
ENSG00000006740,same,TRUE,FALSE,FALSE,0.319285794117514,3.59052899479106,0.190632298769917,3.48995101035573,1.51375140304893e-10,5.52828893081666e-08,0.165600873788675,0.426137897548495
ENSG00000007174,same,TRUE,TRUE,FALSE,0.246181836955234,3.07811254746135,0.296019352927653,2.84013189848264,1.9955672270423e-05,0.000737167121180294,0.731624387889267,0.839483755908466
ENSG00000007516,same,TRUE,TRUE,FALSE,0.309821786015308,3.50335392645178,0.289911993795007,3.4216106319761,5.17279447087862e-11,2.24653065817699e-08,0.920343076979896,0.951266604366421
ENSG00000008277,same,TRUE,TRUE,FALSE,0.291943047068821,3.67357975659339,0.241549079479799,3.47146698707524,8.4369800935943e-05,0.0020793532687725,0.789194825150255,0.868517644032478
ENSG00000008405,same,TRUE,TRUE,FALSE,0.238283884015946,0.411401597066756,0.25254530291628,0.0769393867825659,2.61015648190295e-22,4.66028938974427e-19,0.154564116856582,0.417775813762979
ENSG00000009790,same,TRUE,TRUE,FALSE,0.708987495299768,3.71131093191499,0.500096458878268,3.58663541592428,0.00557345099846224,0.0435578508284328,0.780250692629571,0.864288105105937
ENSG00000010361,same,TRUE,FALSE,FALSE,0.272559996743638,3.40141319424239,0.17052174610973,3.28322491396515,2.69649999432086e-07,2.36776275457606e-05,0.349862154484435,0.607556322034799
ENSG00000010810,loss,TRUE,FALSE,TRUE,0.35152834888097,3.90573150485019,0.128096026132987,4.57503573199718,3.63320713235163e-07,3.02497437356261e-05,0.00844125063929844,0.102887696471449
